threshold,avg_skills_per_job,pct_remaining_job,avg_skills_per_path,pct_remaining_path
0.0,114.25980898296335,100.0,273.6897827092002,100.0
0.1,113.04078471863707,98.93311193570432,270.4771151178918,98.82616458696162
0.2,109.70443985544657,96.01314830817194,262.1544151641239,95.78523997831049
0.3,104.97547754259163,91.87436814133301,250.25381414701803,91.43703198190512
0.4,99.5738255033557,87.14685101408021,237.02404068423485,86.60317471042633
0.5,92.4908363448632,80.94783035971467,220.3666204345816,80.51693353446251
0.6,71.34086215797625,62.437407162665124,173.04438280166437,63.226467969952246
0.7,32.58492514197212,28.51827377624155,82.67637540453075,30.20806059551581
0.8,7.374935467217346,6.454531591521374,20.154877484974573,7.36413222498315
0.9,0.3932627774909654,0.34418294673466737,1.2283865002311605,0.44882439091134835
